name_product;price;description;image_01;image_02;image_03
Micro-brushes;ˆ 5,50;Excellent tool for micro-beauty work.Suitable for lash pretreatment procedure, removing lashes, lash lifting procedure, deep lash cleaning, brow coloring treatment.With a light microfibre tip.Perfect for any work where precision is demand.Pack consist of 100 pieces;http://www.lovely-professional.com/upload/resize_cache/webp/upload/iblock/4b6/4b62732c09a86c2ed3a0c01d8b55552d.webp;http://www.lovely-professional.com/upload/resize_cache/webp/upload/iblock/3e0/3e022ad49a84f9bf396f50a16d56c171.webp;http://www.lovely-professional.com/upload/resize_cache/webp/upload/iblock/847/8472af2e617ce888cbb75c07421bd699.webp
Wood spatula (100 pieces);ˆ 4,00;No description;http://www.lovely-professional.com/upload/resize_cache/webp/upload/iblock/5ae/5ae0b5e8060352fe866e0a8fc504b211.webp
Thermo-Hygrometer;ˆ 11,50;Thermo-Hygrometer Lovely is the required instrument of every eyelash extension artist.This compact device allows you to check the room temperature and humidity while working.That's essential tool while working with glue and other Lovely materials.The thermo-hygrometer gives the information in high accuracy.Powered by AAA batteries.;http://www.lovely-professional.com/upload/resize_cache/webp/upload/iblock/555/5552fb5ea96cee679990ad9bed128492.webp
Mini led fan;ˆ 5,00;No description;http://www.lovely-professional.com/upload/resize_cache/webp/iblock/b25/b25771759cc1fe4c552960d887664693.webp
Lash's Nebulaizer;ˆ 45,47;The use of a nebulizer accelerates glue polymerization.It prevents any bad consequences with client’s health.;http://www.lovely-professional.com/upload/resize_cache/webp/upload/iblock/32a/32a975ca2357a5989b9a7a0617981221.webp
Lash maker Scissors;ˆ 18,50;Essential tool for smooth cutting of eyelash extension materials.This specially designed tool offers accurate cutting.Made with stainless steel.;http://www.lovely-professional.com/upload/resize_cache/webp/iblock/c89/c896d659f50dcc73aff3666555bf5a0a.webp;http://www.lovely-professional.com/upload/resize_cache/webp/iblock/7b2/7b24b0b5449e96e64931a436168fa468.webp;http://www.lovely-professional.com/upload/resize_cache/webp/iblock/9e8/9e852fe7444be2cac1ff4fbe3fa6c5ed.webp;http://www.lovely-professional.com/upload/resize_cache/webp/iblock/e8a/e8af326248afdefe60e6dd0016919af8.webp;http://www.lovely-professional.com/upload/resize_cache/webp/iblock/52c/52c42a575ff2214aaebde1dd42965482.webp;http://www.lovely-professional.com/upload/resize_cache/webp/iblock/43c/43cb82566341693b7d674dc8b24965a7.webp;http://www.lovely-professional.com/upload/resize_cache/webp/iblock/b9d/b9d9c4431ca510794eb47b44903496d8.webp;http://www.lovely-professional.com/upload/resize_cache/webp/iblock/524/52445c9e506c05f27093b9215621bf9f.webp
Lashmaker's mirror Purple;ˆ 10,50;Lashmaker’s mirror on a long stem.Very easy to use, it allows you to control the process of eyelash extensions.;http://www.lovely-professional.com/upload/resize_cache/webp/upload/iblock/4b6/4b64ae3f21146b46bfee6166b4893c30.webp
Jade stone;ˆ 3,00;Appropriate support to professional eyelash extension technicians.Thanks to its nature, stone keeps glue fresh for a long time what makes lash extension retention longer.Available color: greenDimension: 5cm ;http://www.lovely-professional.com/upload/resize_cache/webp/upload/iblock/62f/62fffd557a779566fac2063061e69ba9.webp;http://www.lovely-professional.com/upload/resize_cache/webp/iblock/ca0/ca086627863248459219ed887e9f3505.webp
Stickers for a stone on a sheet (12 pieces);ˆ 2,50;No description;http://www.lovely-professional.com/upload/resize_cache/webp/iblock/0ab/0ab8e6390d0251aa1fb43c6abe24fe8e.webp
Training mannequin-head for eyelash extension;ˆ 35,50;No description;http://www.lovely-professional.com/upload/resize_cache/webp/upload/iblock/a8d/a8d4ac45546cb315b393099aef155668.webp;http://www.lovely-professional.com/upload/resize_cache/webp/iblock/48d/48d2f26ec395a0cb14e8016d855d29c9.webp
