name_product;categ_product;price_new;price_old;Артикул;Висота;Ширина;Глибина;Ціновий діапазон;Серія;Тип кухні;Можливість індивідуального замовлення;Гарантія;Матеріал корпуса;Матеріал фасада;Упаковка;Наявність;Спосіб оплати;images
"Кухня ""Фарбований високий глянець"" KX-6733";Кухні посекційно;від 7 349 грн/м.пог.;від 8 962 грн/м.пог.;KX-6733;3600 мм;2700 мм;Низький;Є;12 міс.;ЛДСП;ДСП;Розібрано в пачках;В наявності;Готівковий/Безготівковий;No n_12;No n_13;No n_14;No n_15;https://komfortmebli.com.ua/upload/iblock/d54/d549e98faa1385a21546b2ead75eef1b.jpg
"Кухня ""Фарбований високий глянець"" KX-6734";Кухні посекційно;від 7 349 грн/м.пог.;від 8 962 грн/м.пог.;KX-6734;2140 мм;3300 мм;1600 мм;Низький;Є;12 міс.;ЛДСП;ДСП;Розібрано в пачках;В наявності;Готівковий/Безготівковий;No n_13;No n_14;No n_15;https://komfortmebli.com.ua/upload/iblock/e02/e024cbbd963944bc93a593702a82ccf5.jpg
"Кухня ""Фарбований високий глянець"" KX-6736";Кухні посекційно;від 7 349 грн/м.пог.;від 8 962 грн/м.пог.;KX-6736;2140 мм;3000 мм;1700 мм;Низький;Є;12 міс.;ЛДСП;ДСП;Розібрано в пачках;В наявності;Готівковий/Безготівковий;No n_13;No n_14;No n_15;https://komfortmebli.com.ua/upload/iblock/cd2/cd2452a536a13243cb028d2c6e6ab9b2.jpg
"Кухня ""Фарбований високий глянець з друком"" KX-6737";Кухні посекційно;від 11 125 грн/м.пог.;від 13 567 грн/м.пог.;KX-6737;2140 мм;3000 мм;1700 мм;Преміум;Фарбований високий глянець з друком;Є;12 міс.;ЛДСП;ДСП;Розібрано в пачках;В наявності;Готівковий/Безготівковий;No n_14;No n_15;https://komfortmebli.com.ua/upload/iblock/a95/a9572ab0f69577853e33a5bdd164e970.jpg
"Кухня ""Фарбований високий глянець з друком"" KX-6738";Кухні посекційно;від 11 125 грн/м.пог.;від 13 567 грн/м.пог.;KX-6738;2140 мм;3400 мм;620 мм;Преміум;Фарбований високий глянець з друком;Є;12 міс.;ЛДСП;ДСП;Розібрано в пачках;В наявності;Готівковий/Безготівковий;No n_14;No n_15;https://komfortmebli.com.ua/upload/iblock/fd5/fd5844114f4af14f0ce26c9aa858d625.jpg
"Кухня ""Фарбований високий глянець з друком"" KX-6739";Кухні посекційно;від 11 125 грн/м.пог.;від 13 567 грн/м.пог.;KX-6739;2140 мм;4050 мм;3050 мм;Преміум;Фарбований високий глянець з друком;Є;12 міс.;ЛДСП;ДСП;Розібрано в пачках;В наявності;Готівковий/Безготівковий;No n_14;No n_15;https://komfortmebli.com.ua/upload/iblock/472/472c094e7eda41d71c8fb050d3506362.jpg
"Кухня ""Фарбований високий глянець з друком"" KX-6740";Кухні посекційно;від 11 125 грн/м.пог.;від 13 567 грн/м.пог.;KX-6740;3600 мм;600 мм;Преміум;Фарбований високий глянець з друком;Є;12 міс.;ЛДСП;ДСП;Розібрано в пачках;В наявності;Готівковий/Безготівковий;No n_13;No n_14;No n_15;https://komfortmebli.com.ua/upload/iblock/dd7/dd70c907b4bef295b12e92e7a861849d.jpg
"Кухня ""Фарбований високий глянець з друком"" KX-6741";Кухні посекційно;від 11 125 грн/м.пог.;від 13 567 грн/м.пог.;KX-6741;2140 мм;3000 мм;1700 мм;Преміум;Фарбований високий глянець з друком;Є;12 міс.;ЛДСП;ДСП;Розібрано в пачках;В наявності;Готівковий/Безготівковий;No n_14;No n_15;https://komfortmebli.com.ua/upload/iblock/005/00591bf166c303c74c0babfea8b033c6.jpg
"Кухня ""Фарбований високий глянець з друком"" KX-6742";Кухні посекційно;від 11 125 грн/м.пог.;від 13 567 грн/м.пог.;KX-6742;2140 мм;3400 мм;620 мм;Преміум;Фарбований високий глянець з друком;Є;12 міс.;ЛДСП;ДСП;Розібрано в пачках;В наявності;Готівковий/Безготівковий;No n_14;No n_15;https://komfortmebli.com.ua/upload/iblock/257/257acb8e5b084ed94b33f755e7406f34.jpg
"Кухня ""Фарбований високий глянець з друком"" KX-6743";Кухні посекційно;від 11 125 грн/м.пог.;від 13 567 грн/м.пог.;KX-6743;2600 мм;3000 мм;Преміум;Фарбований високий глянець з друком;Є;12 міс.;ЛДСП;ДСП;Розібрано в пачках;В наявності;Готівковий/Безготівковий;No n_13;No n_14;No n_15;https://komfortmebli.com.ua/upload/iblock/ba6/ba6917b9458b38bc505dc2be1b77a9b3.jpg
